packageName,className,methodName,api,mcrCategories,mcrTags
org.aksw.palmetto.subsets,AbstractAnyBasedSegmentator,isSubSetUnionSizeRestricted,none,none,none
org.aksw.palmetto.subsets,OneAnyTest,test,junit:junit,null,null
org.aksw.palmetto.prob.bd,ListBasedBooleanDocumentFrequencyDeterminer,getNumberOfDocuments,none,none,none
org.aksw.palmetto.calculations.direct,LikelihoodConfirmationMeasure,.,none,none,none
org.aksw.palmetto.io,DocumentTextSupplier,getNextDocumentText,none,none,none
org.aksw.palmetto,Palmetto,printCoherences,none,none,none
org.aksw.palmetto.vector,CondProbCalculationBasedCreatorTest,data,junit:junit,null,null
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCalculation,createVector,none,none,none
org.aksw.palmetto.evaluate.correlation,Spearman,createRanks,none,none,none
org.aksw.palmetto.subsets,OneOne,getName,none,none,none
org.aksw.palmetto.weight,EqualWeighter,createWeights,none,none,none
org.aksw.palmetto.calculations.direct,OlssonsCoherenceCalculationTest,.,junit:junit,null,null
org.aksw.palmetto.vector,LikelihoodCalculationBasedCreatorTest,data,junit:junit,null,null
org.aksw.palmetto.weight,WordSetSizeBasedWeighterTest,data,junit:junit,null,null
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,.,org.apache.lucene:lucene-core,null,null
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,.,org.apache.lucene:lucene-analyzers-common,null,null
org.aksw.palmetto.calculations.indirect,CosinusBasedCalculationTest,.,junit:junit,null,null
org.aksw.palmetto.calculations.direct,DirectConfirmationMeasure,.,none,none,none
org.aksw.palmetto.calculations.direct,JaccardConfirmationMeasure,calculateConfirmationValues,none,none,none
org.aksw.palmetto.calculations.direct,NormalizedLogRatioConfirmationMeasure,getName,none,none,none
org.aksw.palmetto.subsets,OneSet,getName,none,none,none
org.aksw.palmetto.vector,AbstractVectorCreatorTest,setMinFrequency,none,none,none
org.aksw.palmetto.corpus.lucene,SlidingWindowCounter,.,none,none,none
org.aksw.palmetto.vector,VectorCreator,getVectors,none,none,none
org.aksw.palmetto.evaluate.correlation,KendallsTauTest,.,junit:junit,null,null
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,getDocumentSizeHistogram,none,none,none
org.aksw.palmetto.data,SubsetProbabilities,.,none,none,none
org.aksw.palmetto.vector,DirectConfirmationBasedVectorCreator,setGamma,none,none,none
org.aksw.palmetto.calculations.direct,DifferenceBasedConfirmationMeasure,.,none,none,none
org.aksw.palmetto.calculations.direct,LikelihoodConfirmationMeasure,calculateConfirmationValues,none,none,none
org.aksw.palmetto,VectorBasedCoherence,getName,none,none,none
org.aksw.palmetto.calculations.direct,FitelsonCoherenceCalculationTest,data,junit:junit,null,null
org.aksw.palmetto.calculations.direct,RatioCoherenceCalculationTest,.,junit:junit,null,null
