packageName,className,methodName,mcrCategories,mcrTags
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,createManagedUserInvalidUsernameTest,null,null
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,addTeamToUserInvalidUserTest,null,null
org.dependencytrack.search,ComponentIndexerTest,reindexTest,none,none
org.dependencytrack.tasks.repositories,GoModulesMetaAnalyzerTest,testAnalyzer,null,null
org.dependencytrack.integrations.kenna,KennaDataTransformer,generateKdiVulnDef,null,null
org.dependencytrack.model,PolicyViolation,setUuid,none,none
org.dependencytrack.model,VulnerabilityMetrics,setMonth,none,none
org.dependencytrack.persistence,ProjectQueryManager,getProjectProperty,none,none
org.dependencytrack.persistence,QueryManager,getAllRepositoriesOrdered,none,none
org.dependencytrack.resources.v1,LicenseGroupResource,createLicenseGroup,null,null
org.dependencytrack.resources.v1,MetricsResource,getProjectCurrentMetrics,null,null
org.dependencytrack.resources.v1,SearchResource,serviceSearch,null,null
org.dependencytrack.search,ComponentIndexer,getSearchFields,none,none
org.dependencytrack.tasks.repositories,HexMetaAnalyzer,supportedRepositoryType,none,none
org.dependencytrack.tasks.scanners,NpmAuditAnalysisTask,submit,null,null
org.dependencytrack.tasks.scanners,NpmAuditAnalysisTask,submit,null,null
org.dependencytrack.util,ComponentVersion,getVersionParts,none,none
org.dependencytrack.model,DependencyMetricsTest,testFirstOccurrence,none,none
org.dependencytrack.notification.publisher,SlackPublisherTest,.,null,null
org.dependencytrack.persistence,DefaultObjectGeneratorTest,testLoadDefaultPersonas,null,null
org.dependencytrack.policy,VersionPolicyEvaluatorTest,testLessThanOrEqualOperator,none,none
org.dependencytrack.resources.v1,BomResourceTest,uploadBomAutoCreateTest,null,null
org.dependencytrack.tasks.repositories,NpmMetaAnalyzerTest,testAnalyzer,null,null
org.dependencytrack.event,VulnerabilityAnalysisEvent,.,null,null
org.dependencytrack.model,ProjectMetrics,getFindingsUnaudited,none,none
org.dependencytrack.notification.vo,AnalysisDecisionChange,getAnalysis,none,none
org.dependencytrack.persistence,LicenseQueryManager,.,null,null
org.dependencytrack.persistence,VulnerableSoftwareQueryManager,getCpeBy23,none,none
org.dependencytrack.resources.v1,ServiceResource,deleteService,null,null
org.dependencytrack.resources.v1.vo,MappedLdapGroupRequest,setTeam,none,none
org.dependencytrack.tasks.repositories,NugetMetaAnalyzer,analyze,none,none
org.dependencytrack.model,PortfolioMetricsTest,testFindingsAudited,none,none
org.dependencytrack.policy,CoordinatesPolicyEvaluatorTest,noMatchWithVersionOperatorGreaterThan,none,none
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,createGroupShouldIndicateBadRequestWhenRequestIsInvalid,null,null
org.dependencytrack.resources.v1,VulnerabilityResourceTest,getVulnerabilitiesByComponentInvalidTest,none,none
org.dependencytrack.model,Component,getVersion,none,none
org.dependencytrack.model,Component,getChildren,none,none
org.dependencytrack.model,Component,getProject,none,none
org.dependencytrack.model,OrganizationalEntity,setName,none,none
org.dependencytrack.persistence,QueryManager,matchServiceIdentity,none,none
org.dependencytrack.tasks.scanners,NpmAuditAnalysisTask,isCapable,null,null
org.dependencytrack.util,ComponentVersion,matchesAtLeastThreeLevels,none,none
org.dependencytrack.model,LicenseTest,testName,none,none
org.dependencytrack.resources.v1,ConfigPropertyResourceTest,updateConfigPropertiesAggregateTest,null,null
org.dependencytrack.resources.v1,VulnerabilityResourceTest,getVulnerabilitiesByProjectIncludeProjectSuppressedTest,none,none
org.dependencytrack.search,ProjectIndexerTest,getIndexTypeTest,none,none
org.dependencytrack.util,InternalComponentIdentificationUtilTest,testIsInternal,null,null
org.dependencytrack.util,InternalComponentIdentificationUtilTest,testIsInternal,null,null
org.dependencytrack.common,ManagedHttpClient,getHttpClient,none,none
org.dependencytrack.model,Component,.,null,null
org.dependencytrack.model,Component,.,null,null
org.dependencytrack.model,NotificationPublisher,getDescription,none,none
org.dependencytrack.model,Project,isActive,none,none
org.dependencytrack.model,ServiceComponent,setName,none,none
org.dependencytrack.model,VulnerabilityMetrics,setId,none,none
org.dependencytrack.persistence,QueryManager,getAuditedCount,none,none
org.dependencytrack.persistence,QueryManager,getComponentAnalysisCache,none,none
org.dependencytrack.resources.v1,BomResource,exportComponentAsCycloneDx,null,null
org.dependencytrack.resources.v1,BomResource,exportComponentAsCycloneDx,null,null
org.dependencytrack.search,ComponentIndexer,add,null,null
org.dependencytrack.search,ComponentIndexer,add,null,null
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,generateVulnerability,null,null
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,generateVulnerability,null,null
org.dependencytrack.model,PortfolioMetricsTest,testVulnerableComponents,none,none
org.dependencytrack.resources.v1,AnalysisResourceTest,configureDeployment,null,null
org.dependencytrack.resources.v1,PermissionResourceTest,removePermissionFromTeamInvalidPermissionTest,null,null
org.dependencytrack.resources.v1,TeamResourceTest,configureDeployment,null,null
org.dependencytrack.integrations,FindingPackagingFormat,getDocument,null,null
org.dependencytrack.model,ProjectMetrics,getPolicyViolationsOperationalAudited,none,none
org.dependencytrack.parser.npm.model,AdvisoryResults,setNext,none,none
org.dependencytrack.parser.nvd,NvdParser,parse,null,null
org.dependencytrack.persistence,QueryManager,getProjects,null,null
org.dependencytrack.resources.v1,MetricsResource,.,null,null
org.dependencytrack.resources.v1,MetricsResource,getPortfolioMetricsXDays,null,null
org.dependencytrack.tasks.repositories,GoModulesMetaAnalyzer,.,null,null
org.dependencytrack.tasks.scanners,AbstractVulnerableSoftwareAnalysisTask,containsSpecialCharacter,none,none
org.dependencytrack.exception,ParseExceptionTest,testMessageConstructor,none,none
org.dependencytrack.integrations.fortifyssc,FortifySscClientTest,after,null,null
org.dependencytrack.model,AnalysisTest,testSuppressed,none,none
org.dependencytrack.model,ComponentTest,testResolvedLicense,none,none
org.dependencytrack.model,PortfolioMetricsTest,testFindingsTotal,none,none
org.dependencytrack.model,RepositoryTypeTest,testResolveUnsupported,null,null
org.dependencytrack.model,VulnerabilityTest,testVulnerableVersions,none,none
org.dependencytrack.resources.v1,TeamResourceTest,getTeamByInvalidUuidTest,none,none
org.dependencytrack.model,Analysis,setComponent,none,none
org.dependencytrack.model,Component,setLicense,none,none
org.dependencytrack.model,PolicyViolation,.,null,null
org.dependencytrack.model,PolicyViolation,setComponent,none,none
org.dependencytrack.model,Project,getChildren,none,none
org.dependencytrack.model,ProjectMetrics,setPolicyViolationsOperationalUnaudited,none,none
org.dependencytrack.model,RepositoryMetaComponent,setName,none,none
org.dependencytrack.parser.github.graphql.model,GitHubVulnerability,setPackageEcosystem,none,none
org.dependencytrack.parser.nvd,NvdParser,.,null,null
org.dependencytrack.persistence,QueryManager,getViolationAnalysis,none,none
org.dependencytrack.policy,AbstractPolicyEvaluator,extractSupportedConditions,none,none
org.dependencytrack.resources.v1,BomResource,uploadBom,null,null
org.dependencytrack.resources.v1,PolicyViolationResource,.,null,null
org.dependencytrack.tasks,NistMirrorTask,.,null,null
org.dependencytrack.model,DependencyMetricsTest,testVulnerabilities,none,none
org.dependencytrack.model,RepositoryTest,testIdentifier,none,none
org.dependencytrack.resources.v1,OidcResourceUnauthenticatedTest,configureDeployment,null,null
org.dependencytrack.exception,ParseException,.,none,none
org.dependencytrack.model,Analysis,setId,none,none
org.dependencytrack.model,Coordinates,.,none,none
org.dependencytrack.model,ICpe,setVersion,none,none
org.dependencytrack.model,ProjectMetrics,setPolicyViolationsTotal,none,none
org.dependencytrack.model,VulnerableSoftware,getVersionStartExcluding,none,none
org.dependencytrack.persistence,DefaultObjectGenerator,getPortfolioManagersPermissions,null,null
org.dependencytrack.persistence,ProjectQueryManager,getProject,none,none
org.dependencytrack.resources.v1,ComponentResource,getAllComponents,null,null
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzer,isApplicable,null,null
org.dependencytrack.model,ComponentTest,testName,none,none
org.dependencytrack.model,ProjectMetricsTest,testId,none,none
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,retrieveGroupsShouldReturnEmptyListWhenNoGroupsWhereFound,none,none
org.dependencytrack.resources.v1,PolicyResourceTest,.,none,none
org.dependencytrack.resources.v1,ProjectResourceTest,updateProjectTest,none,none
org.dependencytrack.integrations.kenna,KennaSecurityUploader,description,none,none
org.dependencytrack.model,VulnerableSoftware,getVersionEndIncluding,none,none
org.dependencytrack.parser.ossindex.model,ComponentReportVulnerability,setTitle,none,none
org.dependencytrack.persistence,NotificationQueryManager,getDefaultNotificationPublisher,none,none
org.dependencytrack.persistence,QueryManager,updateServiceComponent,none,none
org.dependencytrack.resources.v1,ProjectPropertyResource,createProperty,null,null
org.dependencytrack.resources.v1.vo,DependencyRequest,getComponentUuids,none,none
org.dependencytrack.model,PortfolioMetricsTest,testMedium,none,none
org.dependencytrack.resources.v1,PolicyResourceTest,updatePolicyTest,none,none
org.dependencytrack.resources.v1,PolicyResourceTest,addProjectToPolicyProjectAlreadyAddedTest,null,null
